"","district_2020","ps_2020","gp_2020","anganwadi_other_rural_infrastructure_in_lakhs_completed_2022","anganwadi_other_rural_infrastructure_in_lakhs_ongoing_suspended_2022","anganwadi_other_rural_infrastructure_in_lakhs_approved_not_in_progress_2022","coastal_areas_in_lakhs_completed_2022","coastal_areas_in_lakhs_ongoing_suspended_2022","coastal_areas_in_lakhs_approved_not_in_progress_2022","fisheries_in_lakhs_completed_2022","fisheries_in_lakhs_ongoing_suspended_2022","fisheries_in_lakhs_approved_not_in_progress_2022","food_grain_in_lakhs_completed_2022","food_grain_in_lakhs_ongoing_suspended_2022","food_grain_in_lakhs_approved_not_in_progress_2022","play_ground_in_lakhs_completed_2022","play_ground_in_lakhs_ongoing_suspended_2022","play_ground_in_lakhs_approved_not_in_progress_2022","rural_drinking_water_in_lakhs_completed_2022","rural_drinking_water_in_lakhs_ongoing_suspended_2022","rural_drinking_water_in_lakhs_approved_not_in_progress_2022","rural_sanitation_in_lakhs_completed_2022","rural_sanitation_in_lakhs_ongoing_suspended_2022","rural_sanitation_in_lakhs_approved_not_in_progress_2022","other_works_in_lakhs_completed_2022","other_works_in_lakhs_ongoing_suspended_2022","other_works_in_lakhs_approved_not_in_progress_2022","provision_of_irrigation_facility_to_land_owned_by_sc_st_lr_or_iay_beneficiaries_small_or_marginal_farmers_in_lakhs_completed_2022","provision_of_irrigation_facility_to_land_owned_by_sc_st_lr_or_iay_beneficiaries_small_or_marginal_farmers_in_lakhs_ongoing_suspended_2022","provision_of_irrigation_facility_to_land_owned_by_sc_st_lr_or_iay_beneficiaries_small_or_marginal_farmers_in_lakhs_approved_not_in_progress_2022","rural_connectivity_in_lakhs_completed_2022","rural_connectivity_in_lakhs_ongoing_suspended_2022","rural_connectivity_in_lakhs_approved_not_in_progress_2022","water_conservation_and_water_harvesting_in_lakhs_completed_2022","water_conservation_and_water_harvesting_in_lakhs_ongoing_suspended_2022","water_conservation_and_water_harvesting_in_lakhs_approved_not_in_progress_2022","renovation_of_traditional_water_bodies_in_lakhs_completed_2022","renovation_of_traditional_water_bodies_in_lakhs_ongoing_suspended_2022","renovation_of_traditional_water_bodies_in_lakhs_approved_not_in_progress_2022","flood_control_and_protection_in_lakhs_completed_2022","flood_control_and_protection_in_lakhs_ongoing_suspended_2022","flood_control_and_protection_in_lakhs_approved_not_in_progress_2022","land_development_in_lakhs_completed_2022","land_development_in_lakhs_ongoing_suspended_2022","land_development_in_lakhs_approved_not_in_progress_2022","bharat_nirman_sewa_kendra_in_lakhs_completed_2022","bharat_nirman_sewa_kendra_in_lakhs_ongoing_suspended_2022","bharat_nirman_sewa_kendra_in_lakhs_approved_not_in_progress_2022","micro_irrigation_works_in_lakhs_completed_2022","micro_irrigation_works_in_lakhs_ongoing_suspended_2022","micro_irrigation_works_in_lakhs_approved_not_in_progress_2022","drought_proofing_in_lakhs_completed_2022","drought_proofing_in_lakhs_ongoing_suspended_2022","drought_proofing_in_lakhs_approved_not_in_progress_2022","total_in_lakhs_completed_2022","total_in_lakhs_ongoing_suspended_2022","total_in_lakhs_approved_not_in_progress_2022","works_on_individuals_land_category_iv_in_lakhs_completed_2022","works_on_individuals_land_category_iv_in_lakhs_ongoing_suspended_2022","works_on_individuals_land_category_iv_in_lakhs_approved_not_in_progress_2022","anganwadi_other_rural_infrastructure_in_lakhs_nan_2022","anganwadi_other_rural_infrastructure_in_lakhs_nan_1_2022","bharat_nirman_sewa_kendra_in_lakhs_nan_2022","bharat_nirman_sewa_kendra_in_lakhs_nan_1_2022","coastal_areas_in_lakhs_nan_2022","coastal_areas_in_lakhs_nan_1_2022","drought_proofing_in_lakhs_nan_2022","drought_proofing_in_lakhs_nan_1_2022","fisheries_in_lakhs_nan_2022","fisheries_in_lakhs_nan_1_2022","flood_control_and_protection_in_lakhs_nan_2022","flood_control_and_protection_in_lakhs_nan_1_2022","food_grain_in_lakhs_nan_2022","food_grain_in_lakhs_nan_1_2022","land_development_in_lakhs_nan_2022","land_development_in_lakhs_nan_1_2022","micro_irrigation_works_in_lakhs_nan_2022","micro_irrigation_works_in_lakhs_nan_1_2022","other_works_in_lakhs_nan_2022","other_works_in_lakhs_nan_1_2022","play_ground_in_lakhs_nan_2022","play_ground_in_lakhs_nan_1_2022","renovation_of_traditional_water_bodies_in_lakhs_nan_2022","renovation_of_traditional_water_bodies_in_lakhs_nan_1_2022","rural_connectivity_in_lakhs_nan_2022","rural_connectivity_in_lakhs_nan_1_2022","rural_drinking_water_in_lakhs_nan_2022","rural_drinking_water_in_lakhs_nan_1_2022","rural_sanitation_in_lakhs_nan_2022","rural_sanitation_in_lakhs_nan_1_2022","water_conservation_and_water_harvesting_in_lakhs_nan_2022","water_conservation_and_water_harvesting_in_lakhs_nan_1_2022","works_on_individuals_land_category_iv_in_lakhs_nan_2022","works_on_individuals_land_category_iv_in_lakhs_nan_1_2022","nan_in_lakhs_completed_2022","nan_in_lakhs_2022","nan_in_lakhs_1_2022","childcare_comp_project_2022","childcare_comp_expenditure_2022","childcare_ongoing_project_2022","childcare_ongoing_expenditure_2022","water_trad_comp_project_2022","water_trad_comp_expenditure_2022","water_trad_ongoing_project_2022","water_trad_ongoing_expenditure_2022","connectivity_comp_project_2022","connectivity_comp_expenditure_2022","connectivity_ongoing_project_2022","connectivity_ongoing_expenditure_2022","drinking_water_comp_project_2022","drinking_water_comp_expenditure_2022","drinking_water_ongoing_project_2022","drinking_water_ongoing_expenditure_2022","sanitation_comp_project_2022","sanitation_comp_expenditure_2022","sanitation_ongoing_project_2022","sanitation_ongoing_expenditure_2022","water_conserve_comp_project_2022","water_conserve_comp_expenditure_2022","water_conserve_ongoing_project_2022","water_conserve_ongoing_expenditure_2022","total_comp_project_2022","total_comp_expenditure_2022","total_ongoing_project_2022","total_ongoing_expenditure_2022","drought_comp_project_2022","drought_comp_expenditure_2022","drought_ongoing_project_2022","drought_ongoing_expenditure_2022","land_dev_comp_project_2022","land_dev_comp_expenditure_2022","land_dev_ongoing_project_2022","land_dev_ongoing_expenditure_2022","micro_irrig_comp_project_2022","micro_irrig_comp_expenditure_2022","micro_irrig_ongoing_project_2022","micro_irrig_ongoing_expenditure_2022","flood_comp_project_2022","flood_comp_expenditure_2022","flood_ongoing_project_2022","flood_ongoing_expenditure_2022","number_of_jobcards_applied_for_2022","number_of_jobcards_issued_2022","registered_workers_s_cs_2022","registered_workers_s_ts_2022","registered_workers_others_2022","registered_workers_total_workers_2022","registered_workers_women_2022","number_of_active_job_cards_2022","active_workers_s_cs_2022","active_workers_s_ts_2022","active_workers_others_2022","active_workers_total_workers_2022","active_workers_women_2022","yearly_household_2022","yearly_persons_2022","x3_a_hh_issued_jobcards_s_cs_2022","x3_b_hh_issued_jobcards_s_ts_2022","x3_c_hh_issued_jobcards_others_2022","x3_d_hh_issued_jobcards_total_2022","x4_a_no_of_hh_provided_employment_s_cs_2022","x4_b_no_of_hh_provided_employment_s_ts_2022","x4_c_no_of_hh_provided_employment_others_2022","x4_d_no_of_hh_provided_employment_total_2022","x4_e_emp_provided_no_of_women_2022","x5_a_no_of_persondays_generated_s_cs_2022","x5_b_no_of_persondays_generated_s_ts_2022","x5_c_no_of_persondays_generated_others_2022","x5_d_no_of_persondays_generated_total_2022","x5_e_no_of_persondays_generated_women_2022","x6_a_families_completed_100_days_s_cs_2022","x6_b_families_completed_100_days_s_ts_2022","x6_c_families_completed_100_days_others_2022","x6_d_families_completed_100_days_total_2022"
"1","Dausa","Bandikui","Abhaneri","0 0","2 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","7 0","10 0","0 0","0 0","0 0",NA,NA,NA,"0 0","4 1.24","0 0","1 3.73","9 12.52","2 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0.46","2 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","3 0.09","2 0","4 4.33","26 14.31","16 0","3 0.6","0 0","0 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,4,1.24,0,0,0,0,0,0,7,0,1,3.73,9,12.52,4,4.33,26,14.31,0,0,3,0.09,3,0.6,0,0,0,0,0,0,0,0,0,0,821,818,310,27,808,1145,834,575,140,8,539,687,562,1134,1228,232,21,567,820,57,1,222,280,271,1502,9,7313,8824,7713,0,0,1,1
"2","Ajmer","Bhinay","Bhinay","0 0","3 1.14","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","3 0","0 0","0 0","1 0","0 0",NA,NA,NA,"1 0","12 16.09","1 0","1 0.03","15 36.33","2 0","0 0","3 1.58","5 0","0 0","0 0","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","2 4.48","1 0","1 0","5 2.03","1 0","3 0.03","61 63.71","15 0","0 0","17 2.06","3 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1.14,0,0,3,1.58,1,0,12,16.09,0,0,0,0,0,0,3,0,1,0.03,15,36.33,3,0.03,61,63.71,1,0,5,2.03,0,0,17,2.06,0,0,2,4.48,0,0,0,0,2405,2405,911,51,3474,4436,2295,2115,611,35,2258,2904,1823,7508,8720,479,29,1897,2405,337,19,1140,1496,1333,12686,627,40873,54186,38674,0,0,16,16
"3","Jhunjhunu","Khetri","Shimla","0 0","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0",NA,NA,NA,"0 0","1 0","0 0","2 0.35","1 5.61","0 0","0 0","1 1.08","1 0","0 0","0 0","0 0","0 0","0 0","1 0","0 0","0 0","0 0","0 0","0 0","0 0","1 2.29","0 0","0 0","3 2.63","5 7.22","13 0","0 0","1 0.53","10 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1.08,0,0,1,0,0,0,0,0,0,0,0,0,2,0.35,1,5.61,3,2.63,5,7.22,1,2.29,0,0,0,0,1,0.53,0,0,0,0,0,0,0,0,187,179,102,0,162,264,147,156,80,0,84,164,103,632,664,80,0,107,187,50,0,53,103,69,2849,0,2749,5598,3540,1,0,2,3
"4","Pali","Rohat","Dhabar","0 0","2 0.94","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0",NA,NA,NA,"0 0","22 19.7","0 0","1 0","10 23.22","0 0","0 0","3 1.77","0 0","0 0","0 0","0 0","0 0","0 0","1 0","0 0","0 0","0 0","0 0","5 13.31","0 0","0 0","1 0","0 0","3 0.2","118 62.83","19 0","2 0.2","75 3.89","18 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0.94,0,0,3,1.77,0,0,22,19.7,0,0,0,0,0,0,0,0,1,0,10,23.22,3,0.2,118,62.83,0,0,1,0,2,0.2,75,3.89,0,0,5,13.31,0,0,0,0,1242,1224,575,2,2686,3263,1563,965,262,2,1027,1291,867,2881,3079,228,1,995,1224,151,1,609,761,668,6808,97,27325,34230,27186,1,0,8,9
"5","Pali","Sumerpur","Bamnera","0 0","1 0.33","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0",NA,NA,NA,"0 0","3 8.2","0 0","0 0","3 10.44","0 0","1 0","2 0","0 0","0 0","2 0","1 0","0 0","2 0.84","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","2 0","3 0","8 1.16","16 19.81","13 0","7 1.16","1 0","8 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.33,1,0,2,0,0,0,3,8.2,0,0,0,0,0,0,0,0,0,0,3,10.44,8,1.16,16,19.81,0,0,2,0,7,1.16,1,0,0,0,0,0,0,0,2,0,502,468,321,142,744,1207,594,368,115,60,241,416,316,1374,1400,129,55,286,470,78,45,134,257,230,4840,3004,5056,12900,11189,10,5,1,16
"6","Chittorgarh","Gangrar","Kanti","0 0","3 1.48","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","2 0","0 0","0 0","0 0",NA,NA,NA,"6 0.65","17 44.02","9 0","2 5.47","8 11.39","3 0","0 0","0 0","0 0","0 0","2 5.56","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","61 33.81","243 118.61","35 0","53 27.68","213 56.17","20 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1.48,0,0,0,0,6,0.65,17,44.02,0,0,0,0,0,0,0,0,2,5.47,8,11.39,61,33.81,243,118.61,0,0,0,0,53,27.68,213,56.17,0,0,0,0,0,0,2,5.56,1540,1489,652,196,2478,3326,1655,1188,463,125,1508,2096,1027,5030,6810,277,57,1013,1347,222,32,637,891,695,13463,2064,35843,51370,24769,20,5,52,77
"7","Banswara","Anadpuri","Chandervada","0 0","3 1.05","2 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0","0 0","0 0","0 0","0 0","0 0","1 0.25","1 0","0 0","0 0","0 0",NA,NA,NA,"0 0","5 3.49","3 0","0 0","23 2.34","0 0","0 0","2 1.28","0 0","0 0","0 0","0 0","0 0.16","19 16.8","0 0","0 0","0 0","0 0","0 0","4 4.55","0 0","0 0","3 0.28","1 0","179 27.32","187 45.96","29 0","179 27.17","126 15.92","22 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1.05,0,0,2,1.28,0,0,5,3.49,0,0,0,0,0,0,1,0.25,0,0,23,2.34,179,27.32,187,45.96,0,0,3,0.28,179,27.17,126,15.92,0,0,4,4.55,0,0,0,0,1075,1013,236,2874,771,3881,1910,920,189,2097,524,2810,1411,2065,3331,103,626,299,1028,82,406,175,663,634,3640,18850,8697,31187,16795,5,19,2,26
"8","Dausa","Bandikui","Bhanvata Bhanvti","1 0.03","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","14 0.49","28 0","0 0","0 0","1 0",NA,NA,NA,"0 0","10 41.89","0 0","10 7.7","2 8.85","2 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","6 0","3 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0.65","3 1.21","1 0","16 8.9","38 52.5","36 0","4 0.53","2 0.06","1 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.03,1,0,0,0,0,0,0,0,10,41.89,0,0,0,0,0,0,14,0.49,10,7.7,2,8.85,16,8.9,38,52.5,1,0.65,3,1.21,4,0.53,2,0.06,0,0,0,0,0,0,0,0,823,786,142,821,439,1402,834,716,62,499,236,797,637,1263,1341,82,454,264,800,43,331,169,543,510,1572,8529,4447,14548,12590,2,4,2,8
"9","Bharatpur","Bayana","Salabad","0 0","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0","0 0",NA,NA,NA,"1 2.36","3 4.22","0 0","1 0.92","3 4.65","1 0","0 0","0 0","0 0","0 0","1 2.87","0 0","0 0","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","2 3.28","20 12.35","3 0","0 0","10 0.61","2 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,2.36,3,4.22,0,0,0,0,0,0,0,0,1,0.92,3,4.65,2,3.28,20,12.35,0,0,0,0,0,0,10,0.61,0,0,0,0,0,0,1,2.87,860,860,453,0,1197,1650,669,387,168,0,295,463,275,707,748,230,0,627,857,109,0,215,324,242,3302,0,6026,9328,6153,0,0,0,0
"10","Bharatpur","Bayana","Dhadheren","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0",NA,NA,NA,"0 0","2 0.53","0 0","0 0","3 10.36","0 0","0 0","1 0","0 0","0 0","0 0","0 0","0 0","2 0.01","1 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","5 0.05","41 11.92","4 0","5 0.05","32 1.02","3 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,2,0.53,0,0,0,0,0,0,0,0,0,0,3,10.36,5,0.05,41,11.92,0,0,0,0,5,0.05,32,1.02,0,0,0,0,0,0,0,0,878,868,333,375,698,1406,745,406,134,31,275,440,268,731,881,199,250,429,878,73,12,171,256,220,1823,129,4733,6685,4847,1,0,0,1
"11","Jodhpur","Shergarh","Solankiya Tala","0 0","2 0.08","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0",NA,NA,NA,"4 0","6 12.42","2 0","1 0.5","13 5.6","3 0","0 0","2 2.39","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","0 0","4 0.68","0 0","52 3.6","61 37.23","7 0","47 3.1","34 16.06","2 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0.08,0,0,2,2.39,4,0,6,12.42,0,0,0,0,0,0,0,0,1,0.5,13,5.6,52,3.6,61,37.23,0,0,4,0.68,47,3.1,34,16.06,0,0,0,0,0,0,0,0,1147,1147,819,492,3965,5276,2638,1037,613,326,2667,3606,1938,1292,1590,199,97,845,1141,108,45,302,455,401,5216,1213,11880,18309,11965,9,1,15,25
