year,total_observations,missing_id,missing_s_no,missing_pancayata,missing_anganwadi_other_rural_infrastructure_in_lakhs_completed,missing_anganwadi_other_rural_infrastructure_in_lakhs_ongoing_suspended,missing_anganwadi_other_rural_infrastructure_in_lakhs_approved_not_in_progress,missing_coastal_areas_in_lakhs_completed,missing_coastal_areas_in_lakhs_ongoing_suspended,missing_coastal_areas_in_lakhs_approved_not_in_progress,missing_fisheries_in_lakhs_completed,missing_fisheries_in_lakhs_ongoing_suspended,missing_fisheries_in_lakhs_approved_not_in_progress,missing_food_grain_in_lakhs_completed,missing_food_grain_in_lakhs_ongoing_suspended,missing_food_grain_in_lakhs_approved_not_in_progress,missing_play_ground_in_lakhs_completed,missing_play_ground_in_lakhs_ongoing_suspended,missing_play_ground_in_lakhs_approved_not_in_progress,missing_rural_drinking_water_in_lakhs_completed,missing_rural_drinking_water_in_lakhs_ongoing_suspended,missing_rural_drinking_water_in_lakhs_approved_not_in_progress,missing_rural_sanitation_in_lakhs_completed,missing_rural_sanitation_in_lakhs_ongoing_suspended,missing_rural_sanitation_in_lakhs_approved_not_in_progress,missing_other_works_in_lakhs_completed,missing_other_works_in_lakhs_ongoing_suspended,missing_other_works_in_lakhs_approved_not_in_progress,missing_provision_of_irrigation_facility_to_land_owned_by_sc_st_lr_or_iay_beneficiaries_small_or_marginal_farmers_in_lakhs_completed,missing_provision_of_irrigation_facility_to_land_owned_by_sc_st_lr_or_iay_beneficiaries_small_or_marginal_farmers_in_lakhs_ongoing_suspended,missing_provision_of_irrigation_facility_to_land_owned_by_sc_st_lr_or_iay_beneficiaries_small_or_marginal_farmers_in_lakhs_approved_not_in_progress,missing_rural_connectivity_in_lakhs_completed,missing_rural_connectivity_in_lakhs_ongoing_suspended,missing_rural_connectivity_in_lakhs_approved_not_in_progress,missing_water_conservation_and_water_harvesting_in_lakhs_completed,missing_water_conservation_and_water_harvesting_in_lakhs_ongoing_suspended,missing_water_conservation_and_water_harvesting_in_lakhs_approved_not_in_progress,missing_renovation_of_traditional_water_bodies_in_lakhs_completed,missing_renovation_of_traditional_water_bodies_in_lakhs_ongoing_suspended,missing_renovation_of_traditional_water_bodies_in_lakhs_approved_not_in_progress,missing_flood_control_and_protection_in_lakhs_completed,missing_flood_control_and_protection_in_lakhs_ongoing_suspended,missing_flood_control_and_protection_in_lakhs_approved_not_in_progress,missing_land_development_in_lakhs_completed,missing_land_development_in_lakhs_ongoing_suspended,missing_land_development_in_lakhs_approved_not_in_progress,missing_bharat_nirman_sewa_kendra_in_lakhs_completed,missing_bharat_nirman_sewa_kendra_in_lakhs_ongoing_suspended,missing_bharat_nirman_sewa_kendra_in_lakhs_approved_not_in_progress,missing_micro_irrigation_works_in_lakhs_completed,missing_micro_irrigation_works_in_lakhs_ongoing_suspended,missing_micro_irrigation_works_in_lakhs_approved_not_in_progress,missing_drought_proofing_in_lakhs_completed,missing_drought_proofing_in_lakhs_ongoing_suspended,missing_drought_proofing_in_lakhs_approved_not_in_progress,missing_total_in_lakhs_completed,missing_total_in_lakhs_ongoing_suspended,missing_total_in_lakhs_approved_not_in_progress,missing_state,missing_district,missing_block,missing_panchayat,missing_key,missing_state_key,missing_works_on_individuals_land_category_iv_in_lakhs_completed,missing_works_on_individuals_land_category_iv_in_lakhs_ongoing_suspended,missing_works_on_individuals_land_category_iv_in_lakhs_approved_not_in_progress,missing_anganwadi_other_rural_infrastructure_in_lakhs_nan,missing_anganwadi_other_rural_infrastructure_in_lakhs_nan_1,missing_bharat_nirman_sewa_kendra_in_lakhs_nan,missing_bharat_nirman_sewa_kendra_in_lakhs_nan_1,missing_coastal_areas_in_lakhs_nan,missing_coastal_areas_in_lakhs_nan_1,missing_drought_proofing_in_lakhs_nan,missing_drought_proofing_in_lakhs_nan_1,missing_fisheries_in_lakhs_nan,missing_fisheries_in_lakhs_nan_1,missing_flood_control_and_protection_in_lakhs_nan,missing_flood_control_and_protection_in_lakhs_nan_1,missing_food_grain_in_lakhs_nan,missing_food_grain_in_lakhs_nan_1,missing_land_development_in_lakhs_nan,missing_land_development_in_lakhs_nan_1,missing_micro_irrigation_works_in_lakhs_nan,missing_micro_irrigation_works_in_lakhs_nan_1,missing_other_works_in_lakhs_nan,missing_other_works_in_lakhs_nan_1,missing_play_ground_in_lakhs_nan,missing_play_ground_in_lakhs_nan_1,missing_renovation_of_traditional_water_bodies_in_lakhs_nan,missing_renovation_of_traditional_water_bodies_in_lakhs_nan_1,missing_rural_connectivity_in_lakhs_nan,missing_rural_connectivity_in_lakhs_nan_1,missing_rural_drinking_water_in_lakhs_nan,missing_rural_drinking_water_in_lakhs_nan_1,missing_rural_sanitation_in_lakhs_nan,missing_rural_sanitation_in_lakhs_nan_1,missing_water_conservation_and_water_harvesting_in_lakhs_nan,missing_water_conservation_and_water_harvesting_in_lakhs_nan_1,missing_works_on_individuals_land_category_iv_in_lakhs_nan,missing_works_on_individuals_land_category_iv_in_lakhs_nan_1,missing_nan_in_lakhs_completed,missing_nan_in_lakhs,missing_nan_in_lakhs_1,missing_total_observations
2011,69367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,0
2012,69367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,0
2013,69367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,69367,0
2014,69232,0,0,69232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69232,69232,69232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,69232,0
2015,70749,0,0,70749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70749,70749,70749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,70749,0
2016,70679,0,0,70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70679,70679,70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,70679,0
2017,70481,0,0,70481,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,70481,70481,70481,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,2373,2373,0,0,0,0,0,0,0,2373,2373,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,68108,0
2018,70476,0,0,70476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70476,70476,70476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,70476,0
2019,70450,0,0,70450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70450,70450,70450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,70450,0
2020,70104,0,0,70104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70104,70104,70104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,70104,0
2022,69920,0,0,69920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69920,69920,69920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,69920,0
2023,69841,0,0,69841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69841,69841,69841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,69841,0
